country,image_file,description,source1,source2,viz_1,viz_2,timelapse
Comoros,comoros_img.png,"Comoros is a country of three volcanic islands in the Indian Ocean; the largest is Grande Comore, which is home to Mount Karthala, an active volcano. Comoros is home to a population of 600,000 people, 28% of whom live in urban areas. The capital city is Moroni. Comoros is 985 Sunni Muslims and Comorans and descended from immigrants from Africa and Asia. Comoran is the dominant language, but French and Arabic are the official languages. Colonized by the French, Comoros achieved independence in 1974; still, France has remained very involved in Comoros regularly providing personnel for coups and counter-coups - there have been 21 since independence. In 1997 two of the islands seceded from Comoros, seeking to be returned to French control, France declined. In 1999 the military took power, electing the army chief in 2002. Elections in 2006, 2012, and 2016 have been peaceful.","Stalker, P. (2010). Comoros. In A Guide to Countries of the World. : Oxford University Press. Retrieved 3 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0048.",,comoros_lg.png,,comoros_hm.gif
Congo-Brazzaville (ROC),congo-brazzaville_img.png,"Congo is the smaller of the two Congo's, with a population of 4 million, 1.1 million of whom live in Brazzaville's capital city. Ethnically, the Kongo make up the largest group. The Sangho, M'Bochi, Teke also live in this country. Congo is the most urban of the Sub-Saharan countries, but the 1997 civil war undermined the growing education and health systems; the war also killed 10,000 people. Since the 1970's the government has relied on oil for its income, making up 70% of the country's GDP. This wealth has not permeated the population of the country.","Stalker, P. (2010). Congo. In A Guide to Countries of the World. : Oxford University Press. Retrieved 24 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0049.",,congo-brazzaville_lg.png,,congo-brazzaville_hm.gif
Congo-Kinshasa (DRC),congo-kinshasa_img.png,"Formerly known as Zaire, Congo Kinshasa is also know as Congo Democratic Republic. This country holds some of the world's densest tropical rainforests and is home to more than 200 ethnic groups. The country achieved its independence in 1960 but for a vast majority of the time since has been under there rule of Mobuto Seko, who came to power by a US-backed military coup in 1965. He changed the name to Zaire from the Democratic Republic of the Congo in 1991. After being elected unopposed for three consecutive terms, which is described as a time where he ""ruthless repressed all opposition and looted the economy,"" a rebellion seized power in Rwanda and overtook Mobutu's army. They took control in 1997, and Mobutu fled the country. Kabila declared himself president and changed the country's name back to Democratic Republic of Congo. More conflict plagued the nation after Kabila's assassination in 2001. His son took power. In 2006 the UN helped organize a multiparty presidential election, and Kabila was elected and re-elected in 2011. He has been accused of restricted press freedom, harassment, and electoral fraud.","Stalker, P. (2010). Congo, Democratic Republic. In A Guide to Countries of the World. : Oxford University Press. Retrieved 7 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0050.",,congo-kinshasa_lg.png,,congo-kinshasa_hm.gif
Cote d'Ivoire,cote-divoire_img.png,"Cote d'Ivoire is a coastal country that includes deep lagoons, dense rainforest, and savannah. With a population of 20 million people, about half of whom live in urban spaces, the capital city is Yamoussoukro. Colonized by the French, Cote d'Ivoire achieved their independence in 1960. Following independence, the country experiences rapid economic growth due to exporting it's two main cash crops: cocoa and coffee. By the 1970s, international commodity prices were driven down, followed by the 1994 devaluation of the CFA franc, and the country was in economic crisis and debt. After 23 years of political consistency under the presidency of Felix Houphouet-Boigny, he introduced a multiparty constitution in 1990, was elected for a 7th term, and died in office in 1993. From 1995 to 2010, the country experiences political instability, with several coups. In 2010 Ouattara won the election, but loser Gbagbo refused to accept the result. A civil war occurred while Ouattara took office. Gbagbo was put on trial at International Criminal Court in 2016. Ouattara won again in 2015.","Stalker, P. (2010). Côte d'Ivoire. In A Guide to Countries of the World. : Oxford University Press. Retrieved 7 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0053.",,cote-divoire_lg.png,,
Djibouti,djibouti_img.png,"This northern country consists of an arid plateau and is one of the hottest places in the world. With a population of 800,000, nearly 88% of whom live in urban spaces. This country has two major ethnic groups, the Somalis and the Afar. Djibouti achieved independence in 1977; they were ruled by the Rassemblement Populaire pour le proges, the only legal party from 1981 - 1992. Djibouti had one president until 1999, Hassan Gouled Aptidon, who was replaced by Ismael Omar Guelleh, who, like his predecessor used military force to quell resistance. He won in 2005, 2011, and 2016.","Stalker, P. (2010). Djibouti. In A Guide to Countries of the World. : Oxford University Press. Retrieved 7 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0059",,djibouti_lg.png,,
Egypt,egypt_img.png,"Egypt is located in the northeastern region of Africa. The Nile River and valley run through the country. With a rich history, this region is home to one of the world's earliest urban societies. Pharotic Egypt flourished for over 3,000 years. In 323 BCE, Egypt was conquered by Alexander the Great, making it a crucial part of the Hellenistic World. It was also part of the Roman Empire for many centuries. Egypt's influence in the Arab and Islamic world is unparalleled, especially in areas of intellectual and cultural development and traditions. In 1517 the Ottoman Empire defeated the Egyptian Mamluks and took control over Egypt until 1788 when Napoleon I led the French army and took control of the country. French occupation ended in 1801 but opened the door for more European colonization. Egypt's location has long made it a strategic location for trade routes between Africa, Europe, and Asia. In 1869, the Suez Canal, which connects the Mediterranean Sea and the Red Sea, sedimented Egypt's strategic position. This only intensified European desire to colonize there, and in 1882 the British occupied Egypt until after World War II. In 1952 a military coup put a revolutionary regime that promoted Pan-Arab nationalism and socialism into power. Egypt has an authoritarian political system that was dominated by a president, ruling party, and security services. This oppressive system, along with mass demonstrations in neighboring countries, led to Arab Spring protests in Egypt in 2011. These protests forced President Hosni Mubarak to leave office, and the government transferred power to a new government in 2012, where the country formed a new constitution. By 2013 another series of mass demonstrations emerged, and this government was overthrown when the military intervened to remove the elected president Mohamed Morsi. He was a member of the Islamist Muslim Brotherhood group.","Goldschmidt, A. Eduard , Holt, . Peter M. , Hopwood, . Derek , Little, . Donald P. , Baker, . Raymond William and Smith, . Charles Gordon (2020, December 15). Egypt. Encyclopedia Britannica. https://www.britannica.com/place/Egypt",,egypt_lg.png,,egypt_hm.gif
Equatorial Guinea,equatorial-guinea_img.png,"Equatorial Guinea is a country with a coastal plain, forested hills, plateau, and a few islands, the largest being Bioko, 200 km north of the Gulf of Guinea. The island Bioko is also home to the capital city of Malabo, which has a population of 166,000. Originally colonized by the Spanish, Equatorial Guinea thrived off of the cocoa plantations before independence. In 1991 oil was discovered off the coast of Bioko, and by 2009 it amounted to 90% of the country's GDP. Despite independence, Equatorial Guinea has been under Spain's control. In 1979 Spain supported a violent coup putting Teodoro Obiang Nguema Mbasogo in power over his uncle, Francisco Macias Nguema. Both ruled as dictators. Obiang established a multiparty democracy in 1991 but won re-election in 1996, 2002, 2009 using fraud and intimation to do so.","Stalker, P. (2010). Equatorial Guinea. In A Guide to Countries of the World. : Oxford University Press. Retrieved 14 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0066.",,equatorial-guinea_lg.png,,
Eritrea,eritrea_img.png,"Formerly an Italian colony Eritrea was federated into Ethiopia in 1952. In 1962 it was illegally annexed into Ethiopia. A prolonged conflict between the Eritrean Liberation Front (ELF) and Ethiopia occurred. In 1973 a socialist group, the Eritrean People's Liberation Front (EPLF), emerged and fought the ELF and Ethiopia. Eritrea achieved its independence from Ethiopia in 1993 and gained the entire coastline. The ports have been a significant income source for this country, but agreements and peace with Ethiopia are necessary for that income. Remittances from Eritreans abroad have been a substantial source of income - 250 million dollars in 2004. Eritrea has endured conflict with most of its neighbors, including Yemen, Sudan, and Djibouti. In 1998 a border conflict led to full-scale war in 1999 between Eritrea and Ethiopia, taking 50,000 lives in the process. In 2001 Eritrea and Ethiopia signed a peace agreement between the countries, and in 2007 the UN ruled on where the border should be.","Stalker, P. (2010). Eritrea. In A Guide to Countries of the World. : Oxford University Press. Retrieved 14 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0067",,eritrea_lg.png,,
Eswatini,eswatini_img.png,"Eswatini (formerly Swaziland) is a landlocked country on the eastern side of South Africa. It is about 110 miles long from north to south and 80 miles wide. Colonized by the British, the colonial administration held its capital in Mbabane, which remains its administrative center. In 2018 the king announced a name change of the country from the Kingdom of Swaziland to the Kingdom of Eswatini. Eswatini is governed by a king who appoints a prime minister and a cabinet and a House of Assembly who are elected by popular vote. Land ownership remains one of the most challenging issues in the country, in large part due to the shift in power after colonial rule between Britain and the king. Education was established formerly by missionaries in pre-colonial times, and in 1906 the Swazi nation set up schools known as ""tribal"" schools. After independence, primary and secondary schools were set up, and more than 80% of school-age children attend.","Masson, J. Richard (2021, January 21). Eswatini. Encyclopedia Britannica. https://www.britannica.com/place/Eswatini",,eswatini_lg.png,,
Ethiopia,ethiopia_img.png,"Ethiopia consists of two high tablelands to the east and the west, split by the East African Rift Valley. The country has a population of 79 million, about 18% of which live in urban spaces. The capital is Addis Ababa, and about 2.4 million people live there. Ethiopia has a very diverse population, which is the result of centuries of linguistic and racial diversity. There are 64 officially recognized ethnic groups and 200 or more languages. Ethiopia was never formally colonized, but Italy occupied it. Ethiopia's main cash crops are coffee and qat (a bush that produces leaves that are mild stimulants when chewed). Ethiopia has endured a series of political traumas and civil war. The country had a famine from 1972 - 1974 where 200,000 people died and led to political unrest in 1975, which overthrew the monarch, and a socialist republic was established. Following this, the establishment of a 17-year military regime known as the Derg took over. The Derg was controlled by Colonel Mengistu Haile Mariam from 1977 to 1991 when it was defeated by Ethiopia's People's Revolutionary Democratic Front (EPRDF); this led to Eritrea's independence in 1993. The Tigray People's Liberation Front dominated the EPRDF and in 2005 chose the current prime minister, who was in power until 2012, died in office and was replaced by his deputy.","Stalker, P. (2010). Ethiopia. In A Guide to Countries of the World. : Oxford University Press. Retrieved 14 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0069.",,ethiopia_lg.png,,
Gabon,gabon_img.png,"Gabon is in the Ogooue River basin and its tributaries. It also holds a dense tropical rainforest with more than 250 species of trees and is home to 4/5ths of the world's chimpanzees and gorillas. Gabon has a population of 1.4 million, 86% of whom live in urban spaces. The capital city is Libreville is home to 604,000 people. This city is one of the most expensive to visit in the world. Gabon is one of the continent's most prosperous countries due to its vast oil reserves, much of which is centered in Port GentrThe oil industry has also helped sustain the rainforest as most development has not been agricultural. Gabon is home to more than 40 ethnic groups. Originally colonized by the French, the French language is still spoken in Gabon. The Roman Catholic influence remains as well. Gabon achieved independence in 1960 and was ruled for 42 years under the oppressive rule of Omar Bongo Ondimba, starting in 1967. Ondimba established the Pari democratique gabonaise (PDG) as the only legitimate party. Protests against Bongo were met with violent repression, and the regime maintains close relations with France. In 1991 a financial crisis pushed Bongo to established a multiparty system, though he continues to be elected. He died in power in 2009 with 183 million dollars in his bank account, and his son took control and was re-elected in 2016.","Stalker, P. (2010). Gabon. In A Guide to Countries of the World. : Oxford University Press. Retrieved 14 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0077.",,gabon_lg.png,,
Ghana,ghana_img.png,"Ghana is a country of 23 million. Its capital city is Accra, which 1.6 million people call home. Ghana's population is comprised of dozens of ethnic groups, the largest being the Akan. About half of Ghanaians make their living from agriculture, such as maize, yams, and cassava. The major cash crop is cocoa; the country's significant exports are gold, cocoa, and timber. Ghana was first colonized by the Portuguese, who arrived in 1471. Ghana's colonial name was ""Gold Coast' and was occupied as a British colony from 1821 - 1957. Colonizers not only exploited Ghana for its gold but used its ports for the slave trade. Ghana achieved independence in 1960. Ghana relied on economic aid starting in 1982, boosting the economy through increased tourism and ecological reserves. In 1979 Jerry Rawlings took power through a coup, doing it again in 1981 after briefly handing power over civilian control. Rawlings embraced the IMF, building programs towards structural adjustment that international donors held up as a ""model."" In 1992, following pressure from donors concerned with Rawling's dictatorship, the government allowed a multiparty election system. Rawlings won the presidential election in 1996; but lost to John Mills in 2000, allowing for a transfer of power. In 2008 John Mills was re-elected.","Guinea-Bissau is a West-African country with a population of 1.5 million. 30% of this population lives in urban areas, about 400,000 of whom live in Bissau, the capital city. Guinea-Bissau has many ethnic groups, the Balanta and Fulani accounting for about half of the population. Two-thirds of the population live below the poverty line, and life expectancy is 48 years, and it one of the lowest in the world. Education standards are poor, and only about half of the children are enrolled. About 60% of the country's GDP comes from agriculture; rice, millet, sorghum, cassava, and other root crops are exported. The main cash crop is cashew nuts. Guinea-Bissea became independent in 1974 and was federated with Cape Verde. Between 1974 and 1999, the country was ruled by the Partido Africano da Independencia de Guinea e Cabo Verde (PAIGC). In 1980, General Joao Bernardo Vieira seized the party in a coup; he broke Guinea-Bisseau from Cape Verde, opening the government to other political parties in the 1990s. Vieira retained control until 1999 when he was overthrown.  Presidential and legislative elections were established, and Kumba Yala became president. Yala died in 2014, and his presidency is remembered as ""erratic and incompetent."" In 2003 the military intervened, and in 2005, Viera was voted back into office - he was then assassinated in 2009. Malam Bacai Sanha won the presidential election in 2012 and died later that year. Carlos Gomes Junior replaced him and another military coup ensued, driving Gomes to exile in Portugal.",,ghana_lg.png,,
Guinea Bissau,guinea-bissau_img.png,"Guinea-Bissau is a West-African country with a population of 1.5 million. 30% of this population lives in urban areas, about 400,000 of whom live in Bissau the capital city. Guinea-Bissau has a large number of ethnic groups, the Balanta and Fulani accounting for about half of the population. Two-thirds of the population live below the poverty line and life expectancy is 48 years and it one of the lowest in the world. Education standards are poor and only about half of the children are enrolled. About 60% of the country's GDP comes from agricutlure; crops such as rice, millet, sorghum, cassava and other root crops are exported. The main cash crop is cashew nuts. Guinea-Bissea became independent in 1974 and was federated with Cape Verde. Between 1974 and 1999 the country was ruled by the Partido Africano da Independencia de Guine e Cabo Verde (PAIGC). In 1980 the party was seized by General Joao Bernardo Vieira in a coup; he broke Guinea-Bisseau from Cape Verde, opening the goverment to other political parites in the 1990s. Vieira retained control until 1999 when he was overthrown and presidental and legislative electiosn were won, established Kumba Yala as president. Yala died in 2014 and his presidentcy is remembered as ""erratic and incompetenet"". In 2003 the miltary intervened and in 2005 Viera was voted back into office - he was then assassinated in 2009. Malam Bacai Sanha won the presidential eleciton in 2012 and died later that year. He was replaced by Carlost Gomes Junior and another military coups ensued driving Gomes to exile in Portugal.","Stalker, P. (2010). Guinea-Bissau. In A Guide to Countries of the World. : Oxford University Press. Retrieved 15 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0090.",,guinea-bissau_lg.png,,guinea-bissau_hm.gif
Guinea,guinea_img.png,"Guinea is home to 9.6 million people, 35% of whom live in urban areas. The capital city is Conakry, where 2.1 million people live. Colonized by the French, Guinea achieved independence in 1958; led by Sekou Toure, whose Marxist inspired ideals shifted into a repressive regime until he died in 1984. The army took power led by Colonel Lansana Conte, who established new fundamental law and presidential elections, which he won in 1993. Conte withstood a coup attempt in 1996 and won another presidential election in 1998 and again in 2002, with 96% of the vote. Conte's enduring power led to a widespread revolt by 2007, forcing Conte to share power with prime minister Lansana Kouyate. Within a few hours of his death in 2008, a military coup took over until 2010 when civilian rule was established with the narrow victory of Alpha Conde, who was reelected in 2015. Guinea has long struggled with widespread poverty and lack of healthcare. In 2013 the first Ebola cases were thought to have emerged in Guinea; over 2,500 deaths have been reported as of October 2015.","Stalker, P. (2010). Guinea. In A Guide to Countries of the World. : Oxford University Press. Retrieved 15 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0089.",,guinea_lg.png,,guinea_hm.gif
Kenya,kenya_img.png,"Kenya is a large country whose easter half is a broad plateau with arid and semi-arid lands. The north and western half have several mountain systems, which are split by the Rift Valley. Thirty-eight million people live in Kenya, 1.3 of whom live in Nairobi, Kenya's capital city. Most of the population lives in the western half of the country, and the north-east is still home to many nomadic herding communities. Kenya has three dominant ethnic communities, the Kikuyu, the Luhya, and the Luo. Kenya was colonized by the British in 1888. They achieved their independence in 1963, where a one-party state was established and run by the Kenya African National Union (KANU). The first president was a Kikuyu, Jomo Kenyatta, who in 1978 died in office and was succeeded by a Kalenjin, Danieal Arap Moi. Moi made KANU the sole legal party in 1982, which remained the case in 1992 when he was forced into a multiparty system; Moi won the following elections in 1992 and 1997. Moi's final years of power were full of corruption, poverty, and violence. In 2002 a new president and party took control, Emilio Mwai Kibaki and his National Rainbow Coalition. In 2007 Kibaki won by a narrow victory over Kenya's Orange Democratic Movement (ODM), with the ODM claiming fraud and rioting and ethnic cleansing across Kenya ensued, leaving 600 people dead and 250,000 displaced in tribal areas. In 2008 the Kibaki agreed to share power with Odinga as prime minister. They continued in power through 2013.","Stalker, P. (2010). Kenya. In A Guide to Countries of the World. : Oxford University Press. Retrieved 15 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0111",,kenya_lg.png,,
Lesotho,lesotho_img.png,"Lesotho is a landlocked country entirely surrounded by South Africa. 2 million people live in Lesotho; 250,000 people live in Maseru, the capital city. Lesotho was a kingdom formed in the 19th century when the Basotho ethnic group took refuge in the mountains, fleeing violence from the Zulus and Boers. Almost all of Lesotho's population is ethnically Basothos, an ethnicity that has several sub-groups. Lesotho has always had a close political relationship with South Africa. During the colonial era, South Africa tried to incorporate successfully resisted, and in 1966 Leosthos established itself as a constitutional monarchy. Chief Leabua Jonathan and the Basotho National Party (BNP) won the first election. Jonathan and his party were immediately in conflict with the King, Moshoeshoe II. In 1970 Jonathan suspended the constitution, sent the king to exile, and arrested opposing politicians. By 1974 the BCP faced an uprising from Lesotho National Army took place and failed. In 1986 Jonathan was overthrown, and King Moshoeshoe was re-established. In 1990 he was exiled again by the army and his son King Letsie III who was removed from power by a coup in 1991. Elections occurred in 1993, which were won by the BCP and Ntsu Mokhehle, who reinstalled Moshoeshoe - who died in power in 1996; and was again succeeded by Letsie. The BCP fell from power in 1997 after Mokhele quit to form the Lesotho Congress for Democracy; The LCD won control in 1988, taking 78 out of the 79 seats despite winning only 61% of the vote. This resulted in riots. The LCD maintained power until 2012, when a peaceful transfer of power to the All Basotho Convention (ABC) party occurred. Thomas Thabane of the ABC party took power. In 2014 he suspended the parliament. A military coup sent him fleeing to South Africa; he returned in February 2015 for elections, which he lost. A Democratic Congress put Mosisili in power.","Stalker, P. (2010). Lesotho. In A Guide to Countries of the World. : Oxford University Press. Retrieved 15 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0120.",,lesotho_lg.png,,lesotho_hm.gif
