Protest Name,Country Name,Date,Locality Name,School Name,Description of Protest,Primary Source,Additional Sources,LAT,LONG,Geographic Context (F1),Protest Location (F2),Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),unique-key
Angola-June-2014,Angola,9-Jun-14,Luanda,Methodist University of Angola,Students boycott classes to protest their obligation to pay school fees for the month of May.,http://www.angonoticias.com/Artigos/item/42868/estudantes-da-universidade-metodista-de-angola-reclamam-pagamento-a-mensalidade-de-maio,,-8.8144948,13.2357895,Capital City,College or University,Strike OR Boycott,Students,School fees,School authority,,Angola-12
Angola-August-2000,Angola,7-Aug-00,,Luanda,Angolan teachers strike to protest higher wages after months of negotiation with the government.,http://news.bbc.co.uk/2/hi/africa/869910.stm,,-11.202692,17.873887,Nationwide,,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security)",Federal government,,Angola-7
Angola-April-2017,Angola,5-Apr-17,,Luanda,Angolan teachers embark on a nationwide strike for higher pay.,https://www.reuters.com/article/us-angola-politics/angolan-teachers-begin-three-day-strike-over-wages-idUSKBN1772O4,,-11.202692,17.873887,Nationwide,,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security)",Federal government,,Angola-6
Angola-April-2018,Angola,20-Apr-18,Luanda,Luanda,Angolan primary and secondary school teachers embark on a nationwide strike to demand higher wages. The strike was called by the Teachers Trade Union.,https://www.news24.com/Africa/News/angola-teachers-on-strike-posing-test-for-president-20180409,http://allafrica.com/stories/201804100823.html,-8.8146556,13.2301756,Nationwide,,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security)",Federal government,,Angola-5
Benin-June-2015,Benin,8-Jun-15,Abomey-Calavi,University of Abomey-Calavi,Students protest the cancellation of the summer catch up session by the school.,http://news.icilome.com/?idnews=807561,,6.4503024,2.3468195,Major Urban Area,College or University,Strike OR Boycott,Students,Accreditation or other school policies,School authority,,Benin-19
Benin-June-2016,Benin,25-Jun-16,Abomey-Calavi,University of Abomey-Calavi,Students boycott examinations to force the University to reconsider its stance of certain student affairs,https://lanouvelletribune.info/archives/benin/societe/29293-uac-discorde-etudiants-autorites,,6.4503024,2.3468195,Major Urban Area,College or University,Strike OR Boycott,Students,Other,School authority,,Benin-9
Benin-August-2015,Benin,26-Aug-15,Parakou,University of Parakou,Students protest non-payment of university allowances.,https://matinlibre.com/index.php/societe/item/3857-universite-de-parakou-unseb-up-proteste-contre-la-session-unique,LINK BROKEN,9.3351014,2.6466933,Major Urban Area,College or University,Protest or demonstration,Students,Other,School authority,,Benin-12
Benin-December-2017,Benin,7-Dec-17,Abomey-Calavi,University of Abomey-Calavi,"Students organize a peaceful protest to demand the immediate payment of university arrears to major beneficiaries; the cancellation of decree Number: 2017 - 115 from March 10, 2017. This decree set criteria for the allocation of university allowances and the provision of scholarships and university relief to the children of the poor without any criteria of average and age. ",http://bennagnon.over-blog.com/2017/12/benin-uac-les-etudiants-marchent-sur-la-dbsu-et-la-mairie-de-calavi.html,,6.4503024,2.3468195,Major Urban Area,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",Federal government,,Benin-16
Benin-December-2002,Benin,4-Dec-02,Abomey-Calavi,University of Abomey-Calavi,A few hundred students from the National Union of Schoolchildren and Students of Benin (UNSEB) organized a sit in to protest legal action being taken against two of their leaders. ,http://www.panapress.com/Des-etudiants-de-l-Universite-d-Abomey-Calavi-observent-un-sit-in--13-611370-18-lang4-index.html,,6.4503024,2.3468195,Major Urban Area,College or University,Protest or demonstration,Students,Solidarity protest,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-13
Benin-July-2016,Benin,26-Jul-16,Cotonou,University of Abomey-Calavi,"At the call of the National Federation of Students of Benin (FNEB), the National Union of Students of Benin (UNEB) and the National Union of Schoolchildren and Students of Benin (Unseb), several students of the University of Benin Abomey - Calavi took the streets of Cotonou to protest against their living conditions and studies.",http://koaci.com/m/benin-manifestation-detudiants-reprimee-police-cotonou-blesse-100583-i.html,,6.4503024,2.3468195,Major Urban Area,Public Space,March,Students,"School quality (food, water, electricity)",Federal government,,Benin-10
Benin-February-2018,Benin,27-Feb-18,Parakou,University of Parakou,Members of the Federation of Students of the University of Parakou (Fneup) and the National Union of Students of the University of Parakou (Uneup) embarked on a three day strike to demand improved school quality.,http://quotidien-lematinal.info/mouvement-de-protestation-a-luniversite-de-parakoules-etudiants-reclament-de-meilleures-conditions-detudes/,https://lanouvelletribune.info/2018/02/benin-etudiants-universite-parakou-en-greve/,9.3351014,2.6466933,Major Urban Area,College or University,Strike OR Boycott,Students,"School quality (food, water, electricity)",School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-5
Benin-February-2018,Benin,28-Feb-18,Abomey-Calavi,University of Abomey-Calavi,"Students call for an increase in the 72 hour a week strike to 96 hours, in order to demand better living conditions. This occured after staging a number of demonstrations. ",https://beninwebtv.com/2018/03/benin-mouvement-de-greve-a-luac-etudiants-passent-a-vitesse-superieure/,https://www.banouto.info/article/securite%20humaine/20180302-bnin-les-policiers-pourchassent-les-tudiants--l-universit-d-abomey-calavi/,6.4503024,2.3468195,Major Urban Area,College or University,"Protest or demonstration,Strike OR Boycott",Students,"School quality (food, water, electricity)",Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-11
Benin-May-2013,Benin,22-May-13,Abomey-Calavi,University of Abomey-Calavi,Students protest the treatment of students at the University of Parakou,https://lanouvelletribune.info/archives/benin/societe/14612-protestation-dans-le-monde-universitaire-les-mouvements-de-parakou-a-l-uac,,6.4503024,2.3468195,Major Urban Area,College or University,Protest or demonstration,Students,Solidarity protest,School authority,,Benin-6
Benin-February-2018,Benin,6-Feb-18,Abomey-Calavi,University of Abomey-Calavi,Students embark on a 72 hour a week strike to protest the new 2017 method of allocation of allowances.,http://quotidien-lematinal.info/universite-dabomey-calavi-les-etudiants-organisent-un-mouvement-de-protestation/,,6.4503024,2.3468195,Major Urban Area,College or University,Strike OR Boycott,Students,"School quality (food, water, electricity),accreditation or other school policies",School authority,,Benin-17
Benin-April-2014,Benin,4-Apr-14,Abomey-Calavi,University of Abomey-Calavi,Students organize a strike to protest the leadership of rector. ,http://www.afriquesenlutte.org/afrique-de-l-ouest/benin/article/benin-motion-de-greve-a-l-4142,,6.4503024,2.3468195,Major Urban Area,College or University,Strike OR Boycott,Students,"School quality (food, water, electricity),accreditation or other school policies",School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-14
Benin-November-2013,Benin,4-Nov-13,Abomey-Calavi,University of Abomey-Calavi,"Students protest the introduction of registration fees of 15,000 CFA Francs by the university administration for students who wanted to register courses at two faculties during the same academic year.",https://www.ifex.org/benin/2013/11/25/student_protest/,,6.4503024,2.3468195,Major Urban Area,College or University,Protest or demonstration,Students,School fees,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-8
Benin-March-2017,Benin,30-Mar-17,Abomey-Calavi,University of Abomey-Calavi,"Students planned a press conference to protest the ban on student demonstrations, but it was shut down by police officers",https://www.atlasnetwork.org/news/article/student-leaders-protest-ban-on-associations-in-benin-universities,https://www.youtube.com/watch?v=VidcjiGlLGY,6.4503024,2.3468195,Major Urban Area,College or University,Protest or demonstration,Students,Government policy,Federal government,,Benin-7
Benin-April-2017,Benin,12-Apr-17,Parakou,University of Parakou,Students protest non-payment of allowances.,http://beninmondeinfos.com/index.php/benin/21-societe/6627-benin-grogne-des-etudiants-de-l-universite-de-parakou,,9.3351014,2.6466933,Major Urban Area,College or University,Protest or demonstration,Students,Accreditation or other school policies,School authority,,Benin-20
Benin-August-2016,Benin,2-Aug-16,Kétou,University of Agriculture Kétou,Student's protest the removal of the University of Agriculture from Kétou to Porto Novo.,https://lanouvelletribune.info/archives/benin/politique/29825-suppression-uak-mouvements-protestation,http://pressebj.info/nordsudquotidien/une-protestation-a-ketou-pollue-la-fete/,7.386682,2.6017826,Town,,Protest or demonstration,Students,Other,Federal government,,Benin-15
Benin-April-2015,Benin,14-Apr-15,Aplahoué,University of Aplahoué,Students protest living and working conditions.,https://matinlibre.com/index.php/societe/item/2342-universite-aplahoue-les-etudiants-protestent-contre-leurs-conditions-detudes,LINK BROKEN,6.9421349,1.6736397,Town,"College or University,Public Space",Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,,Benin-18
Benin-November-2003,Benin,12-Nov-03,,Confederation of Workers of Benin (CSTB),"Secondary school teachers embark on a three day warning strike, organized by SYNARES and CSTB- Confederation of Workers of Benin to demand higher pay.",http://allafrica.com/stories/200311120566.html,,9.30769,2.315834,Nationwide,Secondary School,Strike OR Boycott,Teachers or Academic Staff,Government policy,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Benin-3
Benin-January-2018,Benin,18-Jan-18,,Stade de l'Amitie,"Students, academic, and non academic staff of Benin's 4 universities embarked on a strike to protest payment and working conditions, as well as the right to strike, after the government attempted to abolish striking. This occurred at Université d’Abomey-Calavi, Université de Parakou, Université Polytechnique d’Abomey and Université des Sciences Agronomiques de Porto Novo.",http://www.universityworldnews.com/article.php?story=2018042007075949,https://www.news24.com/Africa/News/public-sector-workers-strike-in-benin-over-right-to-strike-20180117,9.30769,2.315834,Nationwide,Public Space,"Strike OR Boycott,March","Students,Teachers or Academic Staff,Non-academic staff,Community Members","Government policy,Solidarity protest",Federal government,,Benin-1
Benin-January-2008,Benin,8-Jan-08,,Cotonou,Primary and secondary school teachers embarked on a strike to demand better pay and working conditions. ,http://www.irinnews.org/report/76873/benin-school-year-risks-being-written-teacher-strikes,,9.30769,2.315834,Nationwide,"Primary School,Secondary School",Strike OR Boycott,Teachers or Academic Staff,Government policy,Federal government,,Benin-2
Benin-August-2016,Benin,8-Aug-16,,University of Abomey-Calavi,"Students from the country's 4 public universities embark on an indefinite strike to protest the suspension of 21 students, as well as to demand better school conditions. ",http://news.acotonou.com/h/91497.html,,9.30769,2.315834,Nationwide,College or University,Strike OR Boycott,Students,"School quality (food, water, electricity),Solidarity protest",School authority,,Benin-21
Benin-April-2017,Benin,23-Apr-17,Porto Novo,University of Abomey-Calavi,"Students and professors, including members of the faculty of law, protest President Talon's proposed constitutional amendment. ",https://guardian.ng/features/benin-students-teachers-halt-constitutional-amendment/,,6.4968574,2.6288523,Capital City,College or University,"Protest or demonstration,Road block or Occupation,March","Students,Teachers or Academic Staff",Government policy,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention,Injury occurred",Benin-4
Botswana-June-2011,Botswana,1-Jun-11,Kanye,Seepapitso Senior Secondary School,"Students protest after teachers were not covering topics which were not taught due to the nationwide strike, despite approaching examinations. This lead to a fire. ",http://www.mmegi.bw/index.php?sid=1&aid=1715&dir=2011%2FJune%2FMonday20&fb_comment_id=10150207847892596_17053763#f265ce886d1f30e,,-24.981777,25.356723,Town,Secondary School,Protest or demonstration,Students,Other,School authority,,Botswana-12
Botswana-July-2014,Botswana,16-Jul-14,Good Hope,Good Hope Senior Secondary School,Students stage a walkout in protest of deplorable school conditions which led to a diarrhea outbreak amongst teachers and students,http://www.thepatriot.co.bw/news/item/172-good-hope-students-leave-school-in-protest.html,,-25.464726,25.4118148,Village,Secondary School,Strike OR Boycott,Students,"School quality (food, water, electricity)",School authority,,Botswana-13
Botswana-April-2011,Botswana,18-Apr-11,,Gaborone,"Teachers joined a nationwide public workers strike over pay, that led to the closing of all private and public schools.",https://www.reuters.com/article/botswana-strike-idUSLDE73H18S20110418,https://www.voanews.com/a/botswanas-government-closes-down-schools-as-strike-continues--122029594/158144.html,-22.328474,24.684866,Nationwide,Public Space,Strike or boycott,Students,Other,Federal government,school closure,Botswana-10
Botswana-February-2004,Botswana,4-Feb-04,Gaborone,Gaborone Technical College,Beauty school teachers protest the delay of a course-work requirements that have kept them from being able to finish the certificate.,https://www.mmegi.bw/2004/February/Thursday5/1044855895836.html,,-24.675734,25.873996,Capital City,College or University,Protest or demonstration,Students,Accreditation or other school policies,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Botswana-21
Botswana-July-2013,Botswana,29-Jul-13,Gaborone,Limkokwing University,Students protest the suspension of SRC members,http://www.botswanaguardian.co.bw/news/item/144-police-use-teargas-on-striking-limkokwing-students.html,,-24.62408,25.8923292,Capital City,College or University,Protest or demonstration,Students,Solidarity protest,School authority,,Botswana-7
Botswana-October-2018,Botswana,3-Oct-18,Gaborone,Botswana College of Agriculture,Video of student strike,https://www.facebook.com/TheGazettebw/videos/buan-students-on-strike/282879962335224/,,-24.591168,25.9412527,Capital City,College or University,Strike OR Boycott,Students,,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Botswana-17
Botswana-October-2015,Botswana,19-Oct-15,Gaborone,Botswana College of Agriculture,Student's began strike and one week into it turned into a riot where student's burned tires. Anti-riot police officers were called to the scene. Student's were boycotting lessons and have raised concerns about the learning environment at their school.,https://thevoicebw.com/bca-students-on-strike/,,-24.591168,25.9412527,Capital City,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,,Botswana-22
Botswana-August-2016,Botswana,19-Aug-16,Gaborone,University of Botswana,Students strike over unpaid allowances.,https://tsena.co.bw/ub-students-go-strike-over-late-payment-allowances,,-24.66059,25.9309101,Capital City,College or University,"Protest or demonstration,Strike OR Boycott",Students,School fees,School authority,"Suspension or discipline,Arrest or detention",Botswana-4
Botswana-May-2013,Botswana,25-May-13,Gaborone,Limkokwing University,Students protest to air their grievances as foreign founder of university visits.,http://www.sundaystandard.info/riots-stop-founder-addressing-limkokwing-students,,-24.62408,25.8923292,Capital City,College or University,Protest or demonstration,Students,,School authority,,Botswana-6
Botswana-January-2012,Botswana,25-Jan-12,Gaborone,University of Botswana,Students protest the discontinuation of make-up examinations.,http://www.universityworldnews.com/article.php?story=20120302145656223,,-24.66059,25.9309101,Capital City,College or University,"Protest or demonstration,Strike OR Boycott",Students,Accreditation or other school policies,School authority,,Botswana-11
Botswana-March-2012,Botswana,4-Mar-12,Gaborone,University of Botswana,Students went on strike for a week holding demonstrations after the Vice Chancellor's decision to overrule the university council's recommendations. ,http://www.universityworldnews.com/article.php?story=20120302145656223,,-24.66059,25.9309101,Capital City,College or University,Strike OR Boycott,Students,Accreditation or other school policies,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Botswana-19
Botswana-February-2017,Botswana,20-Feb-17,Gaborone,Botho University,Students strike over unaccredited courses,http://www.mmegi.bw/index.php?aid=67036&dir=2017/march/01,http://www.dailynews.gov.bw/news-details.php?nid=34513,-24.68474,25.8778667,Capital City,College or University,"Protest or demonstration,Strike or Boycott",Students,Accreditation or other school policies,School authority,school closure,Botswana-3
Botswana-April-2018,Botswana,30-Apr-18,Gaborone,Association of Driver School Training,Members of the Association of Driver School Training's new testing center protest the new system.,http://www.mmegi.bw/index.php?aid=75516&dir=2018/april/30,,-24.628208,25.9231471,Capital City,Vocational or Technical Schools,Strike OR Boycott,"Non-academic staff,Community Members",Government policy,Regional government,Suspension or discipline,Botswana-24
Botswana-April-2013,Botswana,8-Apr-13,Gaborone,Limkokwing University,"Students protest the suspension of the Student Representative Council, SRC executive committee members.",http://www.thegazette.news/responsive-html-magazine/,LINK BROKEN,-24.62408,25.8923292,Capital City,College or University,Protest or demonstration,Students,Solidarity protest,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Botswana-5
Botswana-March-2002,Botswana,22-Mar-02,Gaborone,University of Botswana,"Students protest for an increase in allowances from the Ministry of Education, and a reduction in the cost of food in the university refectories.",http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27609561142&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T27609561146&cisb=22_T27609561145&treeMax=true&treeWidth=0&csi=235861&docNo=22,,-24.66059,25.9309101,Capital City,College or University,Strike OR Boycott,Students,School fees,School authority,,Botswana-14
Botswana-August-2006,Botswana,15-Aug-06,Gaborone,University of Botswana,Students protest the university's compulsory meal plan.,https://allafrica.com/stories/200608150414.html,,-24.66059,25.9309101,Capital City,College or University,Protest or demonstration,Students,Accreditation or other school policies,School authority,,Botswana-18
Botswana-October-2014,Botswana,7-Oct-14,Gaborone,Botswana College of Agriculture,Students boycott classes due to the 'unhygienic' meals served by the institution.,http://www.botswanaguardian.co.bw/finance/item/1155-bca-students-boycott-classes.html,,-24.591168,25.9412527,Capital City,College or University,Strike OR Boycott,Students,"School quality (food, water, electricity)",School authority,,Botswana-15
