Protest Name,Country Name,Date,Locality Name,Geographic Context (F1),School Name,Protest Location (F2),Description of Protest,Primary Source,Additional Sources,Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),LAT,LONG
Algeria-December-2017,Algeria,"December 13, 2017",,Nationwide,Algiers,"College or University,Secondary School",University and High School students in Berber regions march in support of Tamazight language rights,https://www.middleeastmonitor.com/20171213-clashes-as-algeria-students-march-in-support-of-berber-language/,https://www.huffpostmaghreb.com/2017/12/14/affrontements-a-bouira_n_18819722.html,"Protest,March",Students,Government policy,Federal government,,28.033886,1.659626
Algeria-November-2009,Algeria,"November 15, 2009",,Nationwide,Algiers,College or University,The National Council of Higher Education Teachers organized a nationwide strike to demand the provision of housing units promised to teachers by the president,https://www.algerie360.com/universite-la-greve-largement-suivie-selon-le-cnes/,,Strike / boycott,Teachers / staff,Other,Federal government,,28.033886,1.659626
Algeria-May-2015,Algeria,"May 18, 2015",Algiers,Nationwide,University of Algiers,College or University,Social Media campaign to in solidarity with a female university student who was not allowed to write an exam because her skirt was too shirt,https://www.cataloguemagazine.com.au/news/algerian-students-protest-over-university-dress-code,https://metro.co.uk/2015/05/18/university-short-skirt-ban-sparks-leg-selfie-protest-in-algeria-5203571/,Online activism,Students,Accreditation / school policies,School authority,"Non-lethal violence,Injury occurred",36.7697979,3.0552665
Algeria-November-2017,Algeria,"November 1, 2017",,Nationwide,Algiers,Technical School,Students from Algeria's 11 teacher training institutes protest changes in their admission contracts.,http://www.universityworldnews.com/article.php?story=20180305113653585,https://www.youtube.com/watch?v=0JwwIDWLSiU,"Protest,Strike / boycott",Students,Accreditation / school policies,"School authority,Federal government",Non-lethal violence,28.033886,1.659626
Algeria-May-2017,Algeria,"May 23, 2017",M'sila,Capital City,University of M'sila,College or University,Student Members of the Student National Solidarity attacked a professor on Campus in order to disrupt examinations.,https://www.middleeastmonitor.com/20170524-algerian-professor-beaten-unconscious-by-university-students/,,Property damage,Students,Other,School authority,,35.714084,4.52536
Algeria-March-2011,Algeria,"March 1, 2011",Boumerdes,Capital City,University M'hamed Bougara of Boumerdès,College or University,Students call for an unlimited strike against the Bologna Higher education system,http://www.universityworldnews.com/article.php?story=20110312104703162,,Strike / boycott,Students,Accreditation / school policies,School authority,,36.7631187,3.4763702
Algeria-September-2014,Algeria,"September 9, 2014",Tizi-ouzou,Capital City,Mouloud Mammeri University of Tizi-ouzou,College or University,Students protest after the medical faculty dean abolished 10 psychiatric residency positions,https://www.al-fanarmedia.org/2014/12/new-round-protests-hits-algerian-universities/,,Protest,Students,"School quality,Accreditation / school policies",School authority,,36.6981966,4.0580482
Algeria-March-2011,Algeria,"March 10, 2011",Bouzaréah (Algiers),Capital City,University of Algiers,College or University,"Students strike against campus insecurity after a female student was attacked, and had her face slashed. This coincided with the first semester examinations",http://www.universityworldnews.com/article.php?story=20110312104703162,http://www.universityworldnews.com/article.php?story=20110312104703162,Strike / boycott,Students,Other,School authority,,36.7697979,3.0552665
Algeria-November-2014,Algeria,"November 10, 2014",Constantine,Capital City,University of Constantine,College or University,Students in the Architectural department protest to the National Architects' Association's lack of recognition of the LMD masters' degree,https://www.al-fanarmedia.org/2014/12/new-round-protests-hits-algerian-universities/,,Protest,Students,Accreditation / school policies,School authority,Non-lethal violence,36.3408311,6.6203356
Algeria-March-2018,Algeria,"March 21, 2018",Bouira,Capital City,Akli Mohand Oulhadj University,College or University,Student members of the National Union of Algerian Students took the Dean of faculty hostage for a few hours,http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27586961158&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T27586961161&cisb=22_T27586961160&treeMax=true&treeWidth=0&csi=10962&docNo=1,,Riot,Students,Accreditation / school policies,School authority,Injury occurred,36.3816552,3.8932162
Angola-October-2002,Angola,"October 8, 2002",Luanda,Capital City,Agostinho Neto University,Public Space,Students protest against a strike by academic staff to demand higher wages.,https://www.news24.com/xArchive/Archive/Police-wound-Luanda-students-20021008,"http://www.angop.ao/angola/en_us/noticias/educacao/2007/11/51/,f1bee6e0-0602-4b1c-a431-b654ca7d1b37.html",March,Students,Other,School authority,"Non-lethal violence,Arrest / detention",-8.9319423,13.2836063
Angola-October-2013,Angola,"October 3, 2013",Luanda,Capital City,Ministry of Education,Public Space,"Flash Mob protest were used to protest the rule of president Jose Eduardo Dos Santos, in a bid to circumvent laws that require permission to protest. The longest protest occurred for 25 minutes in front of the ministry of education",http://observers.france24.com/en/20141028-angola-video-protest-police-photo-activism,https://stirileprotv.ro/stiri/stirileprotv-special/5-minute-aceasta-este-durata-unui-protest-in-angola-una-dintre-cele-mai-mari-tari-din-africa-video.html,Protest,"Students,Community members",Elections,Federal government,,-8.8146556,13.2301756
Angola-January-2016,Angola,"January 29, 2016",Luanda,Capital City,Independence Square,Public Space,University students mobilized by the Angolan Students' Movement called for a march in Lunda to protest tuition hikes.,https://www.makaangola.org/2016/01/estudantes-universitarios-manifestam-se-contra-aumento-de-propinas/,,March,Students,School fees,Federal government,,-8.8146556,13.2301756
Angola-June-2014,Angola,"June 1, 2014",Luanda,Capital City,Independent University of Angola,College or University,Students protest the increase in tuition,https://www.makaangola.org/2014/06/propinas-protestos-e-policia-na-universidade-independente-de-angola/,,Protest,Students,School fees,Federal government,,-8.8884165,13.183948
Angola-June-2017,Angola,"June 25, 2017",Luanda,Capital City,Catholic University of Angola,College or University,Students protest a hike in school fees,https://angola-online.net/noticias/subida-de-propinas-em-2017-leva-estudantes-da-universidade-catolica-a-rua,,Protest,Students,School fees,School authority,Arrest / detention,-8.85756,13.2818806
Angola-June-2015,Angola,"June 30, 2015",Luanda,Capital City,Luanda,Public Space,"17 Activists were jailed for organizing a book reading on Dictatorship to Democracy: A Conceptual Framework for Liberation, by Gene Sharp. The charges brought against them include rebellion and civil disobedience",https://www.theguardian.com/world/2015/nov/17/angolan-activists-charged-rebellion-state-book-reading,,Online activism,Students,Other,,"Non-lethal violence,Arrest / detention",-8.8146556,13.2301756
Angola-September-2013,Angola,"September 21, 2013",Luanda,Capital City,Independence Square,Public Space,"The Angolan Revolutionary Movement, consisting of students and young professionals called for the protest against the rule of then President Jose Eduardo Dos Santos.",https://www.enca.com/africa/angola-journalists-detained-after-foiled-protest,,Protest,"Students,Community members",Elections,Federal government,,-8.8146556,13.2301756
Angola-September-2002,Angola,"September 28, 2002",Luanda,Capital City,Agostinho Neto University,,Teachers at Agostinho Neto University strike to demand higher wages,https://www.news24.com/xArchive/Archive/Police-wound-Luanda-students-20021008,http://allafrica.com/stories/200307281001.html,Strike / boycott,Teachers / staff,Staff working conditions,School authority,,-8.9319423,13.2836063
Angola-June-2014,Angola,"June 9, 2014",Luanda,Capital City,Methodist University of Angola,College or University,Students boycott classes to protest their obligation to pay school fees for the month of may,http://www.angonoticias.com/Artigos/item/42868/estudantes-da-universidade-metodista-de-angola-reclamam-pagamento-a-mensalidade-de-maio,,Strike / boycott,Students,School fees,School authority,,-8.8144948,13.2357895
Angola-August-2000,Angola,"August 7, 2000",,Nationwide,Luanda,,Angolan teachers strike to protest higher wages after months of negotiation with the government,http://news.bbc.co.uk/2/hi/africa/869910.stm,,Strike / boycott,Teachers / staff,Staff working conditions,Federal government,,-11.202692,17.873887
Angola-April-2017,Angola,"April 5, 2017",,Nationwide,Luanda,,Angolan teachers embark on a nationwide strike for higher pay,https://www.reuters.com/article/us-angola-politics/angolan-teachers-begin-three-day-strike-over-wages-idUSKBN1772O4,,Strike / boycott,Teachers / staff,Staff working conditions,Federal government,,-11.202692,17.873887
Angola-April-2018,Angola,"April 20, 2018",Luanda,Nationwide,Luanda,,Angolan primary and secondary school teachers embark on a nationwide strike to demand higher wages. The strike was called by the Teachers' Trade Union,https://www.news24.com/Africa/News/angola-teachers-on-strike-posing-test-for-president-20180409,http://allafrica.com/stories/201804100823.html,Strike / boycott,Teachers / staff,Staff working conditions,Federal government,,-8.8146556,13.2301756
Benin-June-2015,Benin,"June 8, 2015",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,Students protest the cancellation of the summer catch up session by the school,http://news.icilome.com/?idnews=807561,,Strike / boycott,Students,Accreditation / school policies,School authority,,6.4503024,2.3468195
Benin-June-2016,Benin,"June 25, 2016",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,Students boycott examinations to force the university to reconsider its  stance of certain student affairs,https://lanouvelletribune.info/archives/benin/societe/29293-uac-discorde-etudiants-autorites,,Strike / boycott,Students,Other,School authority,,6.4503024,2.3468195
Benin-August-2015,Benin,"August 26, 2015",Parakou,Major Urban Area,University of Parakou,College or University,Students protest non payment of university allowances,https://matinlibre.com/index.php/societe/item/3857-universite-de-parakou-unseb-up-proteste-contre-la-session-unique,LINK BROKEN,Protest,Students,Other,School authority,,9.3351014,2.6466933
Benin-December-2017,Benin,"December 7, 2017",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,"Students organize a peaceful protest to demand the  immediate payment of university arrears to major beneficiaries; the  cancellation of decree N ° 2017 - 115 of March 10, 2017 setting criteria for the allocation of university allowances; and the provision of scholarships and university relief to the children of the poor without any criteria of average and age",http://bennagnon.over-blog.com/2017/12/benin-uac-les-etudiants-marchent-sur-la-dbsu-et-la-mairie-de-calavi.html,,Protest,Students,School quality,Federal government,,6.4503024,2.3468195
Benin-December-2002,Benin,"December 4, 2002",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,A few hundred students from the National Union of Schoolchildren and Students of Benin (UNSEB) organized a sit in  to protest legal action being taken against two of their leaders,http://www.panapress.com/Des-etudiants-de-l-Universite-d-Abomey-Calavi-observent-un-sit-in--13-611370-18-lang4-index.html,,Protest,Students,Solidarity protest,School authority,Non-lethal violence,6.4503024,2.3468195
Benin-July-2016,Benin,"July 26, 2016",Cotonou,Major Urban Area,University of Abomey-Calavi,Public Space,"At the call of the National Federation of Students of Benin (Fneb), the National Union of Students of Benin (Uneb) and the National Union of Schoolchildren and Students of Benin (Unseb), several students of the University of Benin Abomey - Calavi on Tuesday took the streets of Cotonou to protest against their living conditions and studies.",http://koaci.com/m/benin-manifestation-detudiants-reprimee-police-cotonou-blesse-100583-i.html,,March,Students,School quality,Federal government,,6.4503024,2.3468195
Benin-February-2018,Benin,"February 27, 2018",Parakou,Major Urban Area,University of Parakou,College or University,Members of the Federation of Students of the University of Parakou (Fneup) and the National Union of Students of the University of Parakou (Uneup) embarked on a three day strike to demand improved school quality,http://quotidien-lematinal.info/mouvement-de-protestation-a-luniversite-de-parakoules-etudiants-reclament-de-meilleures-conditions-detudes/,https://lanouvelletribune.info/2018/02/benin-etudiants-universite-parakou-en-greve/,Strike / boycott,Students,School quality,School authority,Non-lethal violence,9.3351014,2.6466933
Benin-February-2018,Benin,"February 28, 2018",Abomey-Calavi,Major Urban Area,University of Abomey-Calivi,College or University,"Students call for an increase in the 72 hour a week strike to 96 hours, in order to demand better living conditions, after staging a number of demonstrations",https://beninwebtv.com/2018/03/benin-mouvement-de-greve-a-luac-etudiants-passent-a-vitesse-superieure/,https://www.banouto.info/article/securite%20humaine/20180302-bnin-les-policiers-pourchassent-les-tudiants--l-universit-d-abomey-calavi/,"Protest,Strike / boycott",Students,School quality,Federal government,Non-lethal violence,6.4503024,2.3468195
Benin-May-2013,Benin,"May 22, 2013",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,Students protest the treatment of students at the university of Parakou,https://lanouvelletribune.info/archives/benin/societe/14612-protestation-dans-le-monde-universitaire-les-mouvements-de-parakou-a-l-uac,,Protest,Students,Solidarity protest,School authority,,6.4503024,2.3468195
Benin-February-2018,Benin,"February 6, 2018",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,Students embark on a 72 hour a week strike to protest the new 2017 method of allocation of allowances.,http://quotidien-lematinal.info/universite-dabomey-calavi-les-etudiants-organisent-un-mouvement-de-protestation/,,Strike / boycott,Students,"School quality,Accreditation / school policies",School authority,,6.4503024,2.3468195
Benin-April-2014,Benin,"April 4, 2014",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,Students organize a strike to protest the leadership of rector,http://www.afriquesenlutte.org/afrique-de-l-ouest/benin/article/benin-motion-de-greve-a-l-4142,,Strike / boycott,Students,"School quality,Accreditation / school policies",School authority,Non-lethal violence,6.4503024,2.3468195
Benin-November-2013,Benin,"November 4, 2013",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,"Students protest the introduction of registration fees of 15,000 CFA Francs by the university administration for students who wanted to register courses at two faculties during the same academic year.",https://www.ifex.org/benin/2013/11/25/student_protest/,,Protest,Students,School fees,School authority,Non-lethal violence,6.4503024,2.3468195
Benin-March-2017,Benin,"March 30, 2017",Abomey-Calavi,Major Urban Area,University of Abomey-Calavi,College or University,"Students planned a press conference to protest the ban on student demonstrations, but it was shut down by police officers",https://www.atlasnetwork.org/news/article/student-leaders-protest-ban-on-associations-in-benin-universities,https://www.youtube.com/watch?v=VidcjiGlLGY,Protest,Students,Government policy,Federal government,,6.4503024,2.3468195
Benin-April-2017,Benin,"April 12, 2017",Parakou,Major Urban Area,University of Parakou,College or University,Students protest non-payment of allowances,http://beninmondeinfos.com/index.php/benin/21-societe/6627-benin-grogne-des-etudiants-de-l-universite-de-parakou,,Protest,Students,Accreditation / school policies,School authority,,9.3351014,2.6466933
Benin-August-2016,Benin,"August 2, 2016",Kétou,Town,University of Agriculture Kétou,,Student's protest the removal of the University of Agriculture from Kétou to Porto Novo,https://lanouvelletribune.info/archives/benin/politique/29825-suppression-uak-mouvements-protestation,http://pressebj.info/nordsudquotidien/une-protestation-a-ketou-pollue-la-fete/,Protest,Students,Other,Federal government,,7.386682,2.6017826
Benin-April-2015,Benin,"April 14, 2015",Aplahoué,Town,University of Aplahoué,"College or University,Public Space",Students protest living and working conditions,https://matinlibre.com/index.php/societe/item/2342-universite-aplahoue-les-etudiants-protestent-contre-leurs-conditions-detudes,LINK BROKEN,Protest,Students,School quality,School authority,,6.9421349,1.6736397
Benin-November-2003,Benin,"November 12, 2003",,Nationwide,Confederation of Workers of Benin (CSTB),Secondary School,"Secondary school teachers embark on a three day warning strike, organized by SYNARES and CSTB- Confederation of Workers of Benin to demand higher pay",http://allafrica.com/stories/200311120566.html,,Strike / boycott,Teachers / staff,Government policy,Federal government,Non-lethal violence,9.30769,2.315834
Benin-January-2018,Benin,"January 18, 2018",,Nationwide,Stade de l'Amitie,Public Space,"Students, academic, and non academic staff of Benin's 4 universities embarked on a strike to protest payment and working conditions, as well as the right to strike, after the government attempted to abolish striking.
This occurred at Université d’Abomey-Calavi, Université de Parakou, Université Polytechnique d’Abomey and Université des Sciences Agronomiques de Porto Novo.",http://www.universityworldnews.com/article.php?story=2018042007075949,https://www.news24.com/Africa/News/public-sector-workers-strike-in-benin-over-right-to-strike-20180117,"Strike / boycott,March","Students,Teachers / staff,Non-academic staff,Community members","Government policy,Solidarity protest",Federal government,,9.30769,2.315834
Benin-January-2008,Benin,"January 8, 2008",,Nationwide,Cotonou,"Primary School,Secondary School",Primary and secondary school teachers embarked on a strike to demand better pay and working conditionsS,http://www.irinnews.org/report/76873/benin-school-year-risks-being-written-teacher-strikes,,Strike / boycott,Teachers / staff,Government policy,Federal government,,9.30769,2.315834
Benin-August-2016,Benin,"August 8, 2016",,Nationwide,University of Abomey-Calavi,College or University,"Students from the country's 4 public universities embark on an indefinite strike to protest the suspension of 21 students, as well as to demand better school conditions",http://news.acotonou.com/h/91497.html,,Strike / boycott,Students,"School quality,Solidarity protest",School authority,,9.30769,2.315834
Benin-April-2017,Benin,"April 23, 2017",Porto Novo,Capital City,University of Abomey-Calavi,College or University,"Students, and professors- particularly members of the faculty of law protest President Talon's proposed constitutional amendment",https://guardian.ng/features/benin-students-teachers-halt-constitutional-amendment/,,"Protest,Road block / occupation,March","Students,Teachers / staff",Government policy,Federal government,"Non-lethal violence,Arrest / detention,Injury occurred",6.4968574,2.6288523
Botswana-June-2011,Botswana,"June 1, 2011",Kanye,Town,Seepapitso Senior Secondary School,Secondary School,"Students protest teachers not covering topics which were not taught due to the nationwide strike, despite approaching examinations; leading to a fire",http://www.mmegi.bw/index.php?sid=1&aid=1715&dir=2011%2FJune%2FMonday20&fb_comment_id=10150207847892596_17053763#f265ce886d1f30e,,Protest,Students,Other,School authority,,-24.981777,25.356723
Botswana-July-2014,Botswana,"July 16, 2014",Good Hope,Village,Good Hope Senior Secondary School,Secondary School,Students stage a walk-out in protest of deplorable school conditions which led to a diarrhea outbreak amongst teachers and students,http://www.thepatriot.co.bw/news/item/172-good-hope-students-leave-school-in-protest.html,,Strike / boycott,Students,School quality,School authority,,-25.464726,25.4118148
Botswana-April-2011,Botswana,"April 18, 2011",,Nationwide,Gaborone,Public Space,"Teachers joined a nationwide public workers strike over pay, that led to the closing of all private and public schools.",https://www.reuters.com/article/botswana-strike-idUSLDE73H18S20110418,https://www.voanews.com/a/botswanas-government-closes-down-schools-as-strike-continues--122029594/158144.html,Strike / boycott,Students,Other,Federal government,School closure,-22.328474,24.684866
Botswana-February-2004,Botswana,"February 4, 2004",Gaborone,Capital City,Gaborone Technical College,College or University,Beauty school teachers protest the delay of a course-work requirements that have kept them from being able to finish the certificate,https://www.mmegi.bw/2004/February/Thursday5/1044855895836.html,,Protest,Students,Accreditation / school policies,School authority,"Non-lethal violence,Arrest / detention",-24.675734,25.873996
Botswana-July-2013,Botswana,"July 29, 2013",Gaborone,Capital City,Limkokwing University,College or University,Students protest the suspension of SRC members,http://www.botswanaguardian.co.bw/news/item/144-police-use-teargas-on-striking-limkokwing-students.html,,Protest,Students,Solidarity protest,School authority,,-24.62408,25.8923292
Botswana-October-2018,Botswana,"October 3, 2018",Gaborone,Capital City,Botswana College of Agriculture,College or University,Video of student strike,https://www.facebook.com/TheGazettebw/videos/buan-students-on-strike/282879962335224/,,Strike / boycott,Students,,,Non-lethal violence,-24.591168,25.9412527
Botswana-October-2015,Botswana,"October 19, 2015",Gaborone,Capital City,Botswana College of Agriculture,College or University,Student's began strike and one week into it turned into a riot - student's burned tires. Anti-riot police officers were called to the scene. Student's were boycotting lessons and have raised concerns about the learning environment at their school,https://thevoicebw.com/bca-students-on-strike/,,Protest,Students,School quality,School authority,,-24.591168,25.9412527
Botswana-August-2016,Botswana,"August 19, 2016",Gaborone,Capital City,University of Botswana,College or University,Students strike over unpaid allowances.,https://tsena.co.bw/ub-students-go-strike-over-late-payment-allowances,,"Protest,Strike / boycott",Students,School fees,School authority,"Suspension / discipline,Arrest / detention",-24.66059,25.9309101
Botswana-May-2013,Botswana,"May 25, 2013",Gaborone,Capital City,Limkokwing University,College or University,Students protest to air their grievances as foreign founder of university visits.,http://www.sundaystandard.info/riots-stop-founder-addressing-limkokwing-students,,Protest,Students,,School authority,,-24.62408,25.8923292
Botswana-January-2012,Botswana,"January 25, 2012",Gaborone,Capital City,University of Botswana,College or University,Students protest the discontinuation of make-up examinations.,http://www.universityworldnews.com/article.php?story=20120302145656223,,"Protest,Strike / boycott",Students,Accreditation / school policies,School authority,,-24.66059,25.9309101
Botswana-March-2012,Botswana,"March 4, 2012",Gaborone,Capital City,University of Botswana,College or University,Students went on strike for a week holding demonstrations after the Vice Chancellor's decision to overrule the university council's recommendations s,http://www.universityworldnews.com/article.php?story=20120302145656223,,Strike / boycott,Students,Accreditation / school policies,School authority,Non-lethal violence,-24.66059,25.9309101
Botswana-February-2017,Botswana,"February 20, 2017",Gaborone,Capital City,Botho University,College or University,Students strike over unaccredited courses,http://www.mmegi.bw/index.php?aid=67036&dir=2017/march/01,http://www.dailynews.gov.bw/news-details.php?nid=34513,"Protest,Strike / boycott",Students,Accreditation / school policies,School authority,School closure,-24.68474,25.8778667
Botswana-April-2018,Botswana,"April 30, 2018",Gaborone,Capital City,Association of Driver School Training,Technical School,Members of the Association of Driver School Training's new testing center protest the new system.,http://www.mmegi.bw/index.php?aid=75516&dir=2018/april/30,,Strike / boycott,"Non-academic staff,Community members",Government policy,Regional government,Suspension / discipline,-24.628208,25.9231471
Botswana-April-2013,Botswana,"April 8, 2013",Gaborone,Capital City,Limkokwing University,College or University,"Students protest the suspension of the Student Representative Council, SRC executive committee members",http://www.thegazette.news/responsive-html-magazine/,LINK BROKEN,Protest,Students,Solidarity protest,School authority,Non-lethal violence,-24.62408,25.8923292
Botswana-March-2002,Botswana,"March 22, 2002",Gaborone,Capital City,University of Botswana,College or University,"Students protest for an  increase in allowances from the ministry of education, and a reduction in the cost of food in the university refectories.",http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27609561142&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T27609561146&cisb=22_T27609561145&treeMax=true&treeWidth=0&csi=235861&docNo=22,,Strike / boycott,Students,School fees,School authority,,-24.66059,25.9309101
Botswana-August-2006,Botswana,"August 15, 2006",Gaborone,Capital City,University of Botswana,College or University,Students protest the university's compulsory meal plan.,https://allafrica.com/stories/200608150414.html,,Protest,Students,Accreditation / school policies,School authority,,-24.66059,25.9309101
Botswana-October-2014,Botswana,"October 7, 2014",Gaborone,Capital City,Botswana College of Agriculture,College or University,Students boycott clases due to the 'unhygienic' meals served by the institution,http://www.botswanaguardian.co.bw/finance/item/1155-bca-students-boycott-classes.html,,Strike / boycott,Students,School quality,School authority,,-24.591168,25.9412527
Botswana-January-2017,Botswana,"January 10, 2017",Gaborone,Capital City,Botho University,College or University,"Students protest expensive textbooks, and textbook allowance stipulations",https://thevoicebw.com/students-protest-expensive-books/,,Protest,Students,School fees,School authority,,-24.68474,25.8778667
Botswana-January-2012,Botswana,"January 20, 2012",Gaborone,Capital City,University of Botswana,College or University,"This blog post sites a first-hand reflection on a protest at the University of Botswana. Student cites a demonstration in a school building and multiple issues the students were organizing in reaction too including: inter-varsity games being cancelled, student's allowances being reduced, and the cancellation of supplementary exams.",https://botswanaspring2012.wordpress.com/2012/01/20/student-protests/,,Protest,Students,Accreditation / school policies,School authority,,-24.66059,25.9309101
Botswana-February-2017,Botswana,"February 24, 2017",Gaborone,Capital City,University of Botswana; Botho University,College or University,Student's protests halt the launch of a pool league.,http://www.mmegi.bw/index.php?aid=66910&dir=2017/february/24,,Protest,Students,,,Non-lethal violence,-24.68474,25.8778667
Botswana-February-2017,Botswana,"February 9, 2017",Gaborone,Capital City,University of Botswana,College or University,Students protest late payment of allowances,http://www.mmegi.bw/index.php?aid=66712&dir=2017/february/16,http://www.sundaystandard.info/ub-management-alleged-have-ignored-advice-own-security-staff,Protest,Students,School fees,School authority,School closure,-24.66059,25.9309101
Botswana-February-2013,Botswana,"February 26, 2013",Gaborone,Capital City,Limkokwing University,College or University,Students protest book allowances,http://www.botswanaguardian.co.bw/news/item/144-police-use-teargas-on-striking-limkokwing-students.html,,Strike / boycott,Students,School fees,School authority,Non-lethal violence,-24.62408,25.8923292
Botswana-May-2011,Botswana,"May 23, 2011",Molepolole,Capital City,Kgari Sechele Secondary School,Secondary School,Students went on rampage in protest of the public sector strike that disrupted their studies,http://www.mmegi.bw/index.php?sid=1&aid=879&dir=2011%2FDecember%2FFriday23&fb_comment_id=10150648504296110_24223324#f3d29d126bb5c4,https://mg.co.za/article/2011-05-20-tension-mounts-over-escalating-botswana-protests,Riot,Students,Other,,Non-lethal violence,-24.409551,25.4929486
Burkina Faso-January-2010,Burkina Faso,"January 22, 2010",Bobo-Dioulasso,Major Urban Area,Polytechnic University of Bobo - Dioulasso,College or University,"Students demand increased quality of education, reduced fees, cheaper transportation fares, and more student transportation buses",http://lefaso.net/spip.php?article36433,,"Protest,March",Students,Other,School authority,,11.2098803,-4.419495
Burkina Faso-October-2015,Burkina Faso,"October 16, 2015",Bobo-Dioulasso,Major Urban Area,Polytechnic University of Bobo - Dioulasso,College or University,Students protest the removal of bus stops and 'university cities',http://news.aouaga.com/h/77650.html,,"Protest, Road block / occupation",Students,Other,School authority,,11.2098803,-4.419495
